Neighborhood,Lat-north,Lat-south,Lng-west,Lng-east
Chinatown,37.797424,37.7900872,-122.4156459,-122.4028082
Russian Hill,37.80415,37.796486,-122.425103,-122.410072
Mission Bay,37.7774449,37.764411,-122.3959337,-122.386555
Nob Hill,37.7963641,37.790373,-122.420142,-122.4074229
Marina,37.8043849,37.8038199,-122.4495721,-122.424427
Sunset/Parkside,37.7500559,37.7387314,-122.4928203,-122.4803492
Noe Valley,37.7490293,37.7442079,-122.4388116,-122.435446
Inner Richmond,37.784244,37.774406,-122.478423,-122.458381
Bernal Heights,37.7476841,37.7358411,-122.4229309,-122.4073891
Glenn Park,37.7454061,37.7341783,-122.4508385,-122.4324201
